やぼったい,ヤボッタイ
象,ゾウ
徒遣い,ムダヅカイ
談,ダン
間歇,カンケツ
親元,オヤモト
寝待月,ネマチノツキ
ショーケース,ショーケース
座長,ザチョウ
ＣＭ,シーエム
ギョリュウ,ギョリュウ
そうじょう,ソウジョウ
背格好,セイカッコウ
背格好,セカッコウ
峻嶺,シュンレイ
気だて,キダテ
古称,コショウ
予測子,ヨソクシ
異人,イジン
適格,テキカク
適格,テッカク
至純,シジュン
水球,スイキュウ
不評,フヒョウ
立話,タチバナシ
踵,カカト
踵,クビス
踵,キビス
せき,セキ
楽市,ラクイチ
フィルム,フィルム
こめ,コメ
クィック,クィック
ウオツカ,ウオツカ
落し紙,オトシガミ
撫で斬り,ナデギリ
寒波,カンパ
電閃,デンセン
親代り,オヤガワリ
御命講,オメイコウ
コンサイス,コンサイス
厳,ゲン
鳥偏,トリヘン
じょうろ,ジョウロ
水兵,スイヘイ
雅称,ガショウ
院議,インギ
しゃが,シャガ
共裏,トモウラ
私供,ワタシドモ
屋形船,ヤカタブネ
蕁麻疹,ジンマシン
丹塗,ニヌリ
戯画,ギガ
組違い,クミチガイ
緊要,キンヨウ
素槍,スヤリ
絵はがき,エハガキ
味噌,ミソ
すかたん,スカタン
神宝,シンポウ
知能,チノウ
法華宗,ホッケシュウ
梳き櫛,スキグシ
耳元,ミミモト
焼却炉,ショウキャクロ
新春,シンシュン
臆念,オクネン
鉄製,テツセイ
鉄製,テッセイ
句合せ,クアワセ
幼友達,オサナトモダチ
桃割,モモワレ
背節,セブシ
年功序列,ネンコウジョレツ
衣紋掛,エモンカケ
風雪,フウセツ
小数点,ショウスウテン
アイスアリーナ,アイスアリーナ
一心,イッシン
じん臓炎,ジンゾウエン
研出し,トギダシ
測鉛,ソクエン
尊慮,ソンリョ
しぶ皮,シブカワ
手段,シュダン
ざくろ口,ザクログチ
七五三,シチゴサン
後継,コウケイ
阿彌陀被り,アミダカブリ
口不調法,クチブチョウホウ
蝶番,チョウツガイ
ホログラフィー,ホログラフィー
麦粒腫,バクリュウシュ
底引き網,ソコビキアミ
御神酒,オミキ
酸漿提灯,ホオズキヂョウチン
ガイドブック,ガイドブック
あみど,アミド
ねずみ算,ネズミザン
敵討,カタキウチ
別ち,ワカチ
私経済,シケイザイ
糠蝦,アミ
強弩,キョウド
辰巳,タツミ
姫鱒,ヒメマス
小童,コワッパ
データセット,データセット
人臣,ジンシン
真後ろ,マウシロ
個物,コブツ
山男,ヤマオトコ
画廊,ガロウ
名取,ナトリ
コンピューターソフト,コンピューターソフト
旧蹟,キュウセキ
有様,アリサマ
主家,シュカ
振分け荷物,フリワケニモツ
アニミズム,アニミズム
杵柄,キネヅカ
媒染,バイセン
アンテナ,アンテナ
仕手,シテ
勝名乗り,カチナノリ
自家製,ジカセイ
五節,ゴセチ
寒天,カンテン
絶えま,タエマ
喧騒,ケンソウ
古来,コライ
大杯,タイハイ
半熟,ハンジュク
間然,カンゼン
老け役,フケヤク
日銀短観,ニチギンタンカン
顔触れ,カオブレ
レジデンス,レジデンス
かつ,カツ
日の丸,ヒノマル
百戦,ヒャクセン
知恵歯,チエバ
旅装,リョソウ
国公私立,コッコウシリツ
未聞,ミモン
作り,ツクリ
外野席,ガイヤセキ
粥,カユ
刷毛序,ハケツイデ
全知全能,ゼンチゼンノウ
呉下,ゴカ
市有,シユウ
穀粉,コクフン
クネンボ,クネンボ
差料,サシリョウ
射利,シャリ
うつり香,ウツリガ
雲烟,ウンエン
家風,カフウ
ｐＨ,ペーハー
一日千秋,イチジツセンシュウ
主事,シュジ
風柄,フウガラ
蕎,ソバ
茶碗蒸,チャワンムシ
泰山木,タイサンボク
鎌倉彫,カマクラボリ
アナゴずし,アナゴズシ
スカラー,スカラー
黒目勝ち,クロメガチ
大黒天,ダイコクテン
無業者,ムギョウシャ
老台,ロウダイ
各省,カクショウ
大根卸,ダイコンオロシ
透視画法,トウシガホウ
詩篇,シヘン
喧噪,ケンソウ
会堂,カイドウ
読手,ヨミテ
外圧,ガイアツ
セッソク動物,セッソクドウブツ
アオノリ,アオノリ
値うち,ネウチ
酉の町,トリノマチ
尼,アマ
星月夜,ホシヅキヨ
女体,ニョタイ
女体,ジョタイ
鼻先,ハナサキ
簡保,カンポ
高圧線,コウアツセン
久離,キュウリ
画才,ガサイ
屈性,クッセイ
動植物,ドウショクブツ
紅顔,コウガン
クレートコントローラ,クレートコントローラ
旅芸人,タビゲイニン
弁士,ベンシ
パン生地,パンキジ
角,カク
角,カド
角,ツノ
キャラクトロン管,キャラクトロンカン
元始,ゲンシ
受認,ジュニン
アンダー,アンダー
貰い湯,モライユ
二元,ニゲン
浪士,ロウシ
迫真,ハクシン
奮然,フンゼン
速効,ソッコウ
夏やすみ,ナツヤスミ
せめぎあい,セメギアイ
こども,コドモ
襟度,キンド
遺著,イチョ
鮪,マグロ
仇討,アダウチ
一癖,ヒトクセ
限度,ゲンド
支流,シリュウ
ホットメタル,ホットメタル
親方,オヤカタ
円盤,エンバン
ポケットベル,ポケットベル
不溶性,フヨウセイ
一見識,イチケンシキ
老女,ロウジョ
名籍,メイセキ
恩知らず,オンシラズ
満干,ミチヒ
そばめ,ソバメ
水涸れ,ミズガレ
大政奉還,タイセイホウカン
茶所,チャドコロ
軸,ジク
蛮夷,バンイ
ヒツジ,ヒツジ
修羅場,シュラバ
シーン,シーン
テアーター,テアーター
鞍馬,アンバ
バックアタック,バックアタック
スラング,スラング
反間,ハンカン
軍鼓,グンコ
オフライン,オフライン
むき身,ムキミ
マキシ,マキシ
刈り穂,カリホ
栗毛,クリゲ
馴染み,ナジミ
曼珠沙華,マンジュシャゲ
前腕,ゼンワン
複複線,フクフクセン
蓮糸,ハスイト
鈍色,ニブイロ
鈍色,ニビイロ
相がかり,ソウガカリ
メラニン,メラニン
豆板,マメイタ
マンサク,マンサク
法規,ホウキ
本山,ホンザン
順逆,ジュンギャク
マルチーズ,マルチーズ
考課状,コウカジョウ
ニシ,ニシ
マルメロ,マルメロ
禁輸,キンユ
羸痩,ルイソウ
初心者,ショシンシャ
原人,ゲンジン
孔版,コウハン
ラプラシアンオペレータ,ラプラシアンオペレータ
索敵,サクテキ
情交,ジョウコウ
鈴掛,スズカケ
千石どおし,センゴクドオシ
万雷,バンライ
駘蕩,タイトウ
ツガ,ツガ
物売り,モノウリ
作土,サクド
死相,シソウ
酒槽,サカブネ
譚詩,タンシ
茶掛,チャガケ
村芝居,ムラシバイ
他動詞,タドウシ
不動点,フドウテン
船渡し,フナワタシ
滑ひゆ,スベリヒユ
母性,ボセイ
葦登,ヨシノボリ
成文法,セイブンポウ
成文法,セイブンホウ
針小棒大,シンショウボウダイ
ゾルレン,ゾルレン
小分け,コワケ
施物,セモツ
ユメ,ユメ
枝分かれ,エダワカレ
精進揚げ,ショウジンアゲ
姐さん,ネエサン
アウトドア,アウトドア
教諭,キョウユ
ハナショウブ,ハナショウブ
エスキス,エスキス
フランネル,フランネル
ボタン,ボタン
球体,キュウタイ
動体,ドウタイ
頑愚,ガング
宮腹,ミヤバラ
家苞,イエヅト
外為法,ガイタメホウ
衣桁,イコウ
鉄火,テッカ
船大工,フナダイク
非道,ヒドウ
甃,シキガワラ
太棹,フトザオ
妄執,モウシュウ
心音,シンオン
係,カカリ
ストレージ,ストレージ
補語,ホゴ
タンカ,タンカ
春情,シュンジョウ
梵妻,ボンサイ
用足,ヨウタシ
シロホン,シロホン
誤謬,ゴビュウ
情け,ナサケ
仏塔,ブットウ
十能,ジュウノウ
心土,シンド
次代,ジダイ
願事,ネガイゴト
ものかげ,モノカゲ
シジュウカラ,シジュウカラ
取っつき,トッツキ
民活法,ミンカツホウ
ソフトフォーカス,ソフトフォーカス
皮ふ,ヒフ
宿下がり,ヤドサガリ
絶佳,ゼッカ
クサガメ,クサガメ
徒飯,ムダメシ
ムツ,ムツ
電信柱,デンシンバシラ
カイガラ,カイガラ
行進曲,コウシンキョク
楽壇,ガクダン
フェンダー,フェンダー
乳臭,ニュウシュウ
洒落,シャラク
洒落,シャレ
地引,ジビキ
山子,ヤマゴ
増え,フエ
乳飲み子,チノミゴ
和親,ワシン
蜘蛛手,クモデ
ごぜ,ゴゼ
悪霊,アクリョウ
替着,カエギ
馬の脚,ウマノアシ
ラー油,ラーユ
つづ,ツヅ
一六銀行,イチロクギンコウ
あれこれ,アレコレ
カナマイシン,カナマイシン
ソウダガツオ,ソウダガツオ
憂い,ウレイ
歴世,レキセイ
受動態,ジュドウタイ
盟約,メイヤク
更衣,コロモガエ
累犯,ルイハン
基準局,キジュンキョク
閉包,ヘイホウ
穿刺,センシ
カシミヤ,カシミヤ
タナぼた,タナボタ
旭,アサヒ
ガーリック,ガーリック
雪隠詰,セッチンヅメ
あだ名,アダナ
ツキクサ,ツキクサ
野ばら,ノバラ
鮮度,センド
ワーキングエリア,ワーキングエリア
紅毛,コウモウ
読切り,ヨミキリ
諸表,ショヒョウ
えたい,エタイ
フトン,フトン
謙語,ケンゴ
五障,ゴショウ
なれ合い,ナレアイ
ツベルクリン,ツベルクリン
ＢＣＧ,ビーシージー
薬餌,ヤクジ
手摺,テスリ
無届け,ムトドケ
府議会,フギカイ
かくれミノ,カクレミノ
一隻,イッセキ
紙ふぶき,カミフブキ
煙雨,エンウ
砒素,ヒソ
大業,オオワザ
大業,タイギョウ
しき,シキ
螽斯,キリギリス
倭琴,ヤマトゴト
維新,イシン
痼疾,コシツ
蜜豆,ミツマメ
口三味線,クチジャミセン
バイチ,バイチ
肉色,ニクイロ
陰刻,インコク
ミナミ,ミナミ
恒温動物,コウオンドウブツ
摂理,セツリ
朱欒,ザボン
異類,イルイ
爺さん,ジイサン
十年一日,ジュウネンイチジツ
呉須,ゴス
へや,ヘヤ
櫓脚,ロアシ
門札,モンサツ
請負人,ウケオイニン
お足,オアシ
口許,クチモト
題詞,ダイシ
警部補,ケイブホ
窮極,キュウキョク
わら,ワラ
頬かぶり,ホオカブリ
本床,ホンドコ
羅漢,ラカン
ハードボイルド,ハードボイルド
ニオ,ニオ
土足,ドソク
ロー,ロー
忍音,シノビネ
不参加,フサンカ
老鴬,ロウオウ
若芽,ワカメ
タケノコ,タケノコ
人付合い,ヒトヅキアイ
竜眼,リュウガン
姥,ウバ
セーラー服,セーラーフク
配偶,ハイグウ
釣果,チョウカ
とうき,トウキ
祥月命日,ショウツキメイニチ
律蔵,リツゾウ
協同体,キョウドウタイ
猫いらず,ネコイラズ
酷暑,コクショ
身代限,シンダイカギリ
点取り,テントリ
すもう,スモウ
分針,フンシン
十手,ジッテ
緑黄色,リョクオウショク
賞状,ショウジョウ
天気,テンキ
勧学,カンガク
芸大,ゲイダイ
重火器,ジュウカキ
あだ花,アダバナ
漢奸,カンカン
噴気,フンキ
マーカンティリズム,マーカンティリズム
生体,セイタイ
ごま油,ゴマアブラ
腹背,フクハイ
締金,シメガネ
漆,ウルシ
犬掻き,イヌカキ
侘住居,ワビズマイ
蝋,ロウ
洋癖,ヨウヘキ
ビーフカレー,ビーフカレー
冷暗,レイアン
滑車,カッシャ
俗文,ゾクブン
文型,ブンケイ
総嘗め,ソウナメ
一族郎党,イチゾクロウトウ
旅篭,ハタゴ
売声,ウリゴエ
苗代水,ナワシロミズ
スクリーン,スクリーン
上位,ジョウイ
沖積,チュウセキ
サウンド,サウンド
貞操,テイソウ
番人,バンニン
列石,レッセキ
色,イロ
色,ショク
サル,サル
目遣い,メヅカイ
つらさ,ツラサ
ロープウェー,ロープウェー
高値,タカネ
涜神,トクシン
精巣,セイソウ
甚平,ジンベイ
山鉾,ヤマボコ
総裁,ソウサイ
横ならび,ヨコナラビ
焼き討ち,ヤキウチ
直営店,チョクエイテン
Ｈｉ８,ハイエイト
若様,ワカサマ
財嚢,ザイノウ
粗大ごみ,ソダイゴミ
繊切,センギリ
海ガメ,ウミガメ
パターンメモリ,パターンメモリ
手駒,テゴマ
群れ,ムレ
新前,シンマエ
一時,ヒトトキ
一時,イットキ
自国,ジコク
鼈甲,ベッコウ
放埒,ホウラツ
酒肉,シュニク
叡智,エイチ
太虚,タイキョ
館主,カンシュ
取合い,トリアイ
不磨,フマ
内装,ナイソウ
手編み,テアミ
溝,ミゾ
溝,ドブ
八十八夜,ハチジュウハチヤ
長短,チョウタン
早春,ソウシュン
蚕室,サンシツ
ペンシル,ペンシル
洗い物,アライモノ
淡水魚,タンスイギョ
髻華,ウズ
国体,コクタイ
冬物,フユモノ
同病,ドウビョウ
直列,チョクレツ
シュークリーム,シュークリーム
花月,カゲツ
ＢＨＣ,ビーエイチシー
ＢＨＣ,ビーエッチシー
晴間,ハレマ
幼君,ヨウクン
銅,ドウ
目篭,メカゴ
暗きょ,アンキョ
宮室,キュウシツ
雨曇,アマグモリ
初速,ショソク
アイテム,アイテム
滑石,カッセキ
汲汲,キュウキュウ
油脂,ユシ
紙芝居,カミシバイ
湯沸し,ユワカシ
鯉,コイ
粘りけ,ネバリケ
叡覧,エイラン
あ然,アゼン
杭,クイ
垂れ絹,タレギヌ
靴篦,クツベラ
ボロボロ,ボロボロ
抗原,コウゲン
右寄せ,ミギヨセ
贅物,ゼイブツ
昨暁,サクギョウ
身欠き鰊,ミガキニシン
グロス,グロス
善本,ゼンポン
霊木,レイボク
微小,ビショウ
円筒,エントウ
しゃ断,シャダン
画意,ガイ
無気味,ブキミ
郵袋,ユウタイ
モダンリビング,モダンリビング
かぎょう,カギョウ
けらつつき,ケラツツキ
枯骨,ココツ
一所不住,イッショフジュウ
芸苑,ゲイエン
臍,ホゾ
臍,ヘソ
こぞう,コゾウ
嬋娟,センケン
宵寝,ヨイネ
クリーネ,クリーネ
流れ図,ナガレズ
千手観音,センジュカンノン
オーバパンチ,オーバパンチ
食あたり,ショクアタリ
寡頭政治,カトウセイジ
乃父,ダイフ
花粉,カフン
アンプ,アンプ
陰ひなた,カゲヒナタ
男持,オトコモチ
赤燐,セキリン
役向き,ヤクムキ
火遁,カトン
ひと言,ヒトコト
痴話喧嘩,チワゲンカ
細雪,ササメユキ
暑気中り,ショキアタリ
リンク,リンク
八角,ハッカク
布子,ヌノコ
テンプレート,テンプレート
兵書,ヘイショ
御利生,ゴリショウ
電子,デンシ
ビフテキ,ビフテキ
眼科,ガンカ
必然,ヒツゼン
被せぶた,カブセブタ
但書,タダシガキ
持ち直し,モチナオシ
不漁,フリョウ
浮袋,ウキブクロ
貯炭,チョタン
足跡,アシアト
足跡,ソクセキ
原名,ゲンメイ
聖,ヒジリ
張り子,ハリコ
くらげ,クラゲ
オートマトン,オートマトン
竜虎,リュウコ
ヘリウム,ヘリウム
ヘリウム,ヘリウム
火打ち,ヒウチ
空寝,ソラネ
春陽,シュンヨウ
水呑み百姓,ミズノミビャクショウ
語彙,ゴイ
粉雪,コナユキ
粉雪,コユキ
クレナイ,クレナイ
漫然,マンゼン
行場,イキバ
行場,ユキバ
内圧,ナイアツ
生首,ナマクビ
臨御,リンギョ
社務,シャム
きょくひ動物,キョクヒドウブツ
紙切れ,カミキレ
補陀落,フダラク
働き,ハタラキ
官栄,カンエイ
アルバム,アルバム
場面々々,バメンバメン
来旨,ライシ
人間業,ニンゲンワザ
骨幹,コッカン
カラ,カラ
名宝,メイホウ
檜,ヒノキ
斜線,シャセン
内廷,ナイテイ
扉,トビラ
マツバボタン,マツバボタン
覆土,フクド
バトン,バトン
宛,アテ
驃騎兵,ヒョウキヘイ
読史,ドクシ
雛壇,ヒナダン
美肌,ビハダ
側,ガワ
側,ソバ
マイナー,マイナー
ネシア,ネシア
供え物,ソナエモノ
冬ざれ,フユザレ
突き出し,ツキダシ
病犬,ヤマイヌ
エボナイト,エボナイト
大食漢,タイショクカン
ジニア,ジニア
いっきょ,イッキョ
草鞋掛け,ワラジガケ
順順,ジュンジュン
外線,ガイセン
活眼,カツガン
残香,ノコリカ
楽団,ガクダン
貴札,キサツ
エアログラム,エアログラム
メガトン,メガトン
雨上がり,アメアガリ
小女,コオンナ
ティーン,ティーン
盛り砂,モリズナ
端唄,ハウタ
ネオン,ネオン
アーム,アーム
雌鳥,メンドリ
御一新,ゴイッシン
コールカード,コールカード
セニョール,セニョール
目塗り,メヌリ
サンプル,サンプル
ギャップ,ギャップ
ヒーロー,ヒーロー
屎尿,シニョウ
メバナ,メバナ
和紙,ワシ
微々,ビビ
トロロイモ,トロロイモ
寸時,スンジ
剛腕,ゴウワン
話しぶり,ハナシブリ
あたり,アタリ
カトラリー,カトラリー
ペイン,ペイン
何より,ナニヨリ
チャドル,チャドル
反感,ハンカン
雨具,アマグ
花道,カドウ
花道,ハナミチ
枡落し,マスオトシ
きささげ,キササゲ
マツゼミ,マツゼミ
舟守,フナモリ
欠け,カケ
狭隘,キョウアイ
ふろ吹き,フロフキ
七転び八起き,ナナコロビヤオキ
テクニカルターム,テクニカルターム
速度形,ソクドガタ
魚拓,ギョタク
リネン,リネン
ライオン,ライオン
首かせ,クビカセ
謀計,ボウケイ
袖丈,ソデタケ
所由,ショユウ
わかれ道,ワカレミチ
養分,ヨウブン
土人,ドジン
マドリガル,マドリガル
ジキル,ジキル
駕,ガ
撰集,センジュウ
撰集,センシュウ
じん,ジン
主剤,シュザイ
手前味噌,テマエミソ
藩政,ハンセイ
レーンハット,レーンハット
脳震盪,ノウシントウ
筋肉質,キンニクシツ
母もの,ハハモノ
縦隊,ジュウタイ
色色,イロイロ
偽もの,ニセモノ
Ｉ－ＭＯＤＥ,アイモード
画室,ガシツ
着尺,キジャク
名号,ミョウゴウ
目庇,マビサシ
航法,コウホウ
次の間,ツギノマ
壇上,ダンジョウ
幻聴,ゲンチョウ
カラス,カラス
ひざ詰め,ヒザヅメ
ゴールドプラン,ゴールドプラン
観念論,カンネンロン
上白,ジョウハク
枯尾花,カレオバナ
卦,ケ
遠回り,トオマワリ
浄几,ジョウキ
しばかり,シバカリ
熱転写,ネツテンシャ
訳書,ヤクショ
産所,サンジョ
涯分,ガイブン
憲政,ケンセイ
艮,ウシトラ
浮かれ女,ウカレメ
一巡り,ヒトメグリ
シュールリアリズム,シュールリアリズム
銀粉,ギンプン
バイアスロン,バイアスロン
有向,ユウコウ
写,ウツシ
行書,ギョウショ
ジャズマン,ジャズマン
幽艷,ユウエン
藤本,トウホン
似合,ニアイ
エーテル,エーテル
愛国心,アイコクシン
セールスポイント,セールスポイント
外貨,ガイカ
リターンマッチ,リターンマッチ
名残月,ナゴリノツキ
カーエアコン,カーエアコン
なで肩,ナデガタ
マルチプレックス,マルチプレックス
ＬＰレコード,エルピーレコード
大幅,オオハバ
亡霊,ボウレイ
組み方,クミカタ
クロマメ,クロマメ
黒田,クロダ
モニタリスト,モニタリスト
猫柳,ネコヤナギ
来世,ライセ
奥の手,オクノテ
蒼海,ソウカイ
ボール紙,ボールガミ
地べた,ジベタ
冬将軍,フユショウグン
創部,ソウブ
蛋白,タンパク
厳君,ゲンクン
月限,ツキギリ
用水路,ヨウスイロ
光ファイバー,ヒカリファイバー
高床,タカユカ
天花粉,テンカフン
鶴嘴,ツルハシ
十全,ジュウゼン
擬似,ギジ
Ｂ５判,ビーゴバン
明徴,メイチョウ
貴社,キシャ
外法,ソトノリ
升,マス
升,ショウ
ＨＰ,エイチピー
ＨＰ,エッチピー
星ざ,セイザ
すり切り,スリキリ
ひとつ覚え,ヒトツオボエ
つわり,ツワリ
不徳義,フトクギ
マイクロステップ,マイクロステップ
間貸,マガシ
インテグレーション,インテグレーション
シャコ,シャコ
下ろし金,オロシガネ
宇宙塵,ウチュウジン
理窟,リクツ
石鹸,セッケン
スリーブ,スリーブ
西紀,セイキ
ほう,ホウ
霜枯れ時,シモガレドキ
熱型,ネッケイ
和讃,ワサン
皹,ヒビ
皹,アカギレ
祖父,ソフ
謹白,キンパク
焼き芋,ヤキイモ
繻子,シュス
集客,シュウキャク
同人,ドウジン
バンパー,バンパー
中軸,チュウジク
益友,エキユウ
常,ツネ
カソリック,カソリック
俗眼,ゾクガン
達意,タツイ
親切心,シンセツシン
色素,シキソ
土間,ドマ
起点,キテン
絶好調,ゼッコウチョウ
二上り新内,ニアガリシンナイ
兵事,ヘイジ
バイエル,バイエル
口開け,クチアケ
物乞い,モノゴイ
過客,カカク
諷意,フウイ
落ち込み,オチコミ
古刹,コサツ
生ゴム,ナマゴム
累卵,ルイラン
癰,ヨウ
ユニテリアン,ユニテリアン
心得,ココロエ
トがき,トガキ
侍講,ジコウ
デルマトール,デルマトール
ツーピース,ツーピース
書契,ショケイ
腰ひも,コシヒモ
刻み足,キザミアシ
県議会,ケンギカイ
月割,ツキワリ
Ｗｅｂ,Ｗｅｂ
冷床,レイショウ
雛の節句,ヒナノセック
モビル油,モビルユ
原点,ゲンテン
ナマズ,ナマズ
後者,コウシャ
乱筆,ランピツ
連曲,レンキョク
袋帯,フクロオビ
茶托,チャタク
蓑龜,ミノガメ
南北,ナンボク
セラミック,セラミック
セックス,セックス
効率,コウリツ
正比例,セイヒレイ
レクリエーション,レクリエーション
保護色,ホゴショク
水飲み,ミズノミ
居室,キョシツ
かみ合わせ,カミアワセ
口琴,コウキン
同誌,ドウシ
雛罌粟,ヒナゲシ
てんこ盛り,テンコモリ
成体,セイタイ
願人,ガンニン
双,ソウ
所縁,ショエン
所縁,ユカリ
物覚え,モノオボエ
天象,テンショウ
戦域,センイキ
れん,レン
シネマスコープ,シネマスコープ
阿媽,アマ
鍬形虫,クワガタムシ
レインコート,レインコート
簡勁,カンケイ
フェアプレー,フェアプレー
釣り針,ツリバリ
ロック,ロック
手料理,テリョウリ
中手,ナカテ
家並み,イエナミ
事件,ジケン
騰落,トウラク
バギナ,バギナ
現,ゲン
現,ウツツ
つき合い,ツキアイ
反動,ハンドウ
いろり,イロリ
終油礼,シュウユレイ
副審,フクシン
杓,ヒシャク
杓,シャク
社会民主党,シャカイミンシュトウ
目許,メモト
踊り場,オドリバ
趣き,オモムキ
全作,ゼンサク
手榴弾,テリュウダン
手榴弾,シュリュウダン
わな,ワナ
ダッシュボード,ダッシュボード
偽名,ギメイ
潮干狩,シオヒガリ
英断,エイダン
恒久,コウキュウ
ヘリカルポテンショメータ,ヘリカルポテンショメータ
提督,テイトク
平民,ヘイミン
ペーパータオル,ペーパータオル
田吾作,タゴサク
下火,シタビ
ベストスリー,ベストスリー
万人,バンニン
そで口,ソデグチ
禅門,ゼンモン
乾せん,カンセン
玉石,ギョクセキ
玉石,タマイシ
面食い,メンクイ
花相撲,ハナズモウ
水筒,スイトウ
隣地,リンチ
道内,ドウナイ
天朝,テンチョウ
警務,ケイム
岩窟,ガンクツ
暈繝,ウンゲン
糸車,イトグルマ
オノボリさん,オノボリサン
両さん,リョウサン
勃然,ボツゼン
鯖雲,サバグモ
塩酸,エンサン
天鵞絨,ビロウド
不成績,フセイセキ
視学,シガク
フレンチ,フレンチ
狂い,クルイ
憐愍,レンビン
祥瑞,ショウズイ
難民,ナンミン
得々,トクトク
リーブス,リーブス
盆踊り,ボンオドリ
畝織,ウネオリ
内科,ナイカ
手ぬき,テヌキ
キクナ,キクナ
有価,ユウカ
バイオニクス,バイオニクス
角形,カクガタ
要人,ヨウジン
在家,ザイケ
綱領,コウリョウ
ストローハット,ストローハット
開運,カイウン
沙,スナ
沙,イサゴ
張り手,ハリテ
節句,セック
店子,タナコ
儀容,ギヨウ
貴方任せ,アナタマカセ
大祭,タイサイ
別間,ベツマ
二度咲き,ニドザキ
正篇,セイヘン
都会,トカイ
薄刃,ウスバ
高誼,コウギ
公設,コウセツ
音頭,オンド
衆道,シュドウ
幽愁,ユウシュウ
ボーロ,ボーロ
亜低木,アテイボク
釣り合い,ツリアイ
地ひびき,ジヒビキ
構図,コウズ
宛て,アテ
セレクタチャネル,セレクタチャネル
付け落し,ツケオトシ
孤絶,コゼツ
寝覚め,ネザメ
尿意,ニョウイ
教科,キョウカ
花茎,カケイ
カマボコ,カマボコ
お金,オカネ
晩景,バンケイ
硼素,ホウソ
取り合い,トリアイ
撥鬢,バチビン
照れ,テレ
ブル,ブル
所与,ショヨ
エアバッグ,エアバッグ
ジャックナイフ,ジャックナイフ
クロニクル,クロニクル
帆綱,ホヅナ
略体,リャクタイ
こう丸,コウガン
地面,ジメン
静墨,セイボク
最後っ屁,サイゴッペ
木裏,キウラ
寄せ木,ヨセギ
弊衣,ヘイイ
血統,ケットウ
霊像,レイゾウ
浜荻,ハマオギ
喨々,リョウリョウ
折り箱,オリバコ
ナックルフォア,ナックルフォア
干ばつ,カンバツ
オーソドックス,オーソドックス
ぎょしゃ,ギョシャ
地裁,チサイ
懸軍,ケングン
惜しげ,オシゲ
霊智,レイチ
通り掛け,トオリガケ
卵巣,ランソウ
血まみれ,チマミレ
ブルーズ,ブルーズ
テングサ,テングサ
パステルカラー,パステルカラー
光学,コウガク
実直,ジッチョク
変種,ヘンシュ
泳ぎ,オヨギ
谿流,ケイリュウ
膏血,コウケツ
廷丁,テイテイ
祝舞,イワイマイ
悪血,アクチ
悪血,オケツ
席題,セキダイ
アキレス腱,アキレスケン
肋間,ロッカン
ひと幕,ヒトマク
特産,トクサン
階梯,カイテイ
切掛け,キリカケ
醤蝦,アミ
多次元,タジゲン
ファイナンス,ファイナンス
射幸,シャコウ
雅楽器,ガガッキ
与件,ヨケン
下町風,シタマチフウ
西人,セイジン
現代病,ゲンダイビョウ
文身,イレズミ
文身,ブンシン
蓍,メドギ
雄滝,オダキ
酒樽,サカダル
書割,カキワリ
白露,シラツユ
白露,ハクロ
彌次郎兵衛,ヤジロベエ
体躯,タイク
チャンピオン,チャンピオン
供御,クゴ
洋種,ヨウシュ
繧繝,ウンゲン
内ぶろ,ウチブロ
尻つき,シリツキ
トビウオ,トビウオ
戦乱,センラン
別箇,ベッコ
権利,ケンリ
王位,オウイ
梅暦,ウメゴヨミ
ジャケット,ジャケット
笏,シャク
無風,ムフウ
ジャイロスコープ,ジャイロスコープ
本状,ホンジョウ
紛々,フンプン
駄馬,ダバ
駄馬,ダウマ
マガモ,マガモ
美境,ビキョウ
バイタリティ,バイタリティ
はちゅう類,ハチュウルイ
怯懦,キョウダ
街角,マチカド
クロック,クロック
免罪,メンザイ
勅諚,チョクジョウ
生き別れ,イキワカレ
味,アジ
ホルダー,ホルダー
一別以来,イチベツイライ
マーキュロ,マーキュロ
菟,ウサギ
パニック,パニック
腺,セン
不謹慎,フキンシン
守り本尊,マモリホンゾン
唐菜,トウナ
木斛,モッコク
形勝,ケイショウ
アフタ,アフタ
後任,コウニン
同士打,ドウシウチ
前妻,ゼンサイ
吟遊詩人,ギンユウシジン
無位,ムイ
フォームラバー,フォームラバー
局部,キョクブ
仮綴,カリトジ
逆蜻蛉,サカトンボ
野次馬,ヤジウマ
稲熱病,イモチビョウ
親潮,オヤシオ
凡常,ボンジョウ
図画,ズガ
頭蓋骨,ズガイコツ
他人,タニン
痺れ,シビレ
庵主,アンシュ
おごのり,オゴノリ
金環,キンカン
潰瘍,カイヨウ
惨状,サンジョウ
矢車,ヤグルマ
樟,クスノキ
樟,クス
のど元,ノドモト
衣服,イフク
具,グ
蔵人所,クロウドドコロ
粗製,ソセイ
けつ,ケツ
畑作,ハタサク
順養子,ジュンヨウシ
合い札,アイフダ
湯水,ユミズ
気運,キウン
兵力,ヘイリョク
迫力,ハクリョク
黒焼,クロヤキ
目標,モクヒョウ
デタント,デタント
縫目,ヌイメ
綿帽子,ワタボウシ
言出しっぺ,イイダシッペ
叢林,ソウリン
泊り明け,トマリアケ
オゾン,オゾン
つづれさせ,ツヅレサセ
中間子,チュウカンシ
独眼竜,ドクガンリュウ
尋,ヒロ
アラメ,アラメ
えい児,エイジ
天譴,テンケン
樽,タル
戦役,センエキ
頭金,アタマキン
大仏,ダイブツ
オルランド,オルランド
産米,サンマイ
星屑,ホシクズ
フラストレーション,フラストレーション
