やぼったい,ヤボッタイ
平たい,ヒラタイ
どろぶかい,ドロブカイ
つれない,ツレナイ
事ごとしい,コトゴトシイ
嘆かわしい,ナゲカワシイ
よしない,ヨシナイ
磯臭い,イソクサイ
とろい,トロイ
回遠い,マワリドオイ
手っとりばやい,テットリバヤイ
抹香臭い,マッコウクサイ
ねぶかい,ネブカイ
涼しい,スズシイ
たわいない,タワイナイ
いたましい,イタマシイ
うらさびしい,ウラサビシイ
もの堅い,モノガタイ
極まりない,キワマリナイ
みみっちい,ミミッチイ
しつこい,シツコイ
ものうい,モノウイ
図太い,ズブトイ
短い,ミジカイ
怨めしい,ウラメシイ
あいいれない,アイイレナイ
つつがない,ツツガナイ
あいくるしい,アイクルシイ
虚しい,ムナシイ
禍まがしい,マガマガシイ
おどろおどろい,オドロオドロイ
あらあらしい,アラアラシイ
懶い,モノウイ
うすい,ウスイ
幅広い,ハバヒロイ
そぐわない,ソグワナイ
ほどとおい,ホドトオイ
男々しい,オオシイ
耐え難い,タエガタイ
カッコイイ,カッコイイ
すえおそろしい,スエオソロシイ
まぢかい,マヂカイ
清清しい,スガスガシイ
賑々しい,ニギニギシイ
遠白い,トオシロイ
むつかしい,ムツカシイ
算盤高い,ソロバンダカイ
似つかわしい,ニツカワシイ
歯がゆい,ハガユイ
焦臭い,コゲクサイ
れいれいしい,レイレイシイ
えがたい,エガタイ
ねたましい,ネタマシイ
理窟っぽい,リクツッポイ
みれんがましい,ミレンガマシイ
ひとがましい,ヒトガマシイ
恨めしい,ウラメシイ
疳高い,カンダカイ
おとましい,オトマシイ
手厚い,テアツイ
もの憂い,モノウイ
目敏い,メザトイ
やかましい,ヤカマシイ
うすきみわるい,ウスキミワルイ
こころづよい,ココロヅヨイ
きみがわるい,キミガワルイ
狭い,セマイ
いたたまらない,イタタマラナイ
あおくさい,アオクサイ
注意深い,チュウイブカイ
もったいない,モッタイナイ
生じろい,ナマジロイ
やすっぽい,ヤスッポイ
勿体ない,モッタイナイ
かうばい,カウバイ
気遣わしい,キヅカワシイ
はばひろい,ハバヒロイ
熱い,アツイ
につかわしい,ニツカワシイ
こにくらしい,コニクラシイ
うるさい,ウルサイ
似気無い,ニゲナイ
蒸暑い,ムシアツイ
ひ弱い,ヒヨワイ
おくぶかい,オクブカイ
麗しい,ウルワシイ
若わかしい,ワカワカシイ
こだかい,コダカイ
相応しい,フサワシイ
ちっちゃい,チッチャイ
おいしい,オイシイ
めずらしい,メズラシイ
けばけばしい,ケバケバシイ
回り遠い,マワリドオイ
どしがたい,ドシガタイ
もの狂おしい,モノグルオシイ
厚い,アツイ
みよい,ミヨイ
馴なれしい,ナレナレシイ
差出がましい,サシデガマシイ
うらやましい,ウラヤマシイ
きみわるい,キミワルイ
忙しい,イソガシイ
忙しい,セワシイ
度難い,ドシガタイ
真っ白い,マッシロイ
けぶかい,ケブカイ
目まぐるしい,メマグルシイ
上手い,ウマイ
かるがるしい,カルガルシイ
ききにくい,キキニクイ
狡っからい,コスッカライ
曲曲しい,マガマガシイ
気高い,ケダカイ
長たらしい,ナガタラシイ
精しい,クワシイ
奥床しい,オクユカシイ
酷しい,キビシイ
きたない,キタナイ
はえばえしい,ハエバエシイ
よそよそしい,ヨソヨソシイ
見好い,ミヨイ
おもろない,オモロナイ
いまだい,イマダイ
ほろ苦い,ホロニガイ
丸い,マルイ
薄ぐろい,ウスグロイ
大層らしい,タイソウラシイ
かまびすしい,カマビスシイ
やむをえない,ヤムヲエナイ
忌いましい,イマイマシイ
うずたかい,ウズタカイ
めでたい,メデタイ
男男しい,オオシイ
目ばやい,メバヤイ
毒毒しい,ドクドクシイ
うら恥しい,ウラハズカシイ
のこりおしい,ノコリオシイ
小やかましい,コヤカマシイ
かわゆい,カワユイ
聞辛い,キキヅライ
態とがましい,ワザトガマシイ
どぎつい,ドギツイ
小汚い,コギタナイ
らうらうい,ラウラウイ
小気味よい,コキミヨイ
やさしい,ヤサシイ
手ごわい,テゴワイ
木ぐらい,コグライ
苦々しい,ニガニガシイ
残惜しい,ノコリオシイ
にげない,ニゲナイ
あまねい,アマネイ
すずしい,スズシイ
にぎわしい,ニギワシイ
か弱い,カヨワイ
ておもい,テオモイ
うら寂しい,ウラサビシイ
薄ぐらい,ウスグライ
ひなたくさい,ヒナタクサイ
しりこそばい,シリコソバイ
長閑けい,ノドケイ
賎しい,イヤシイ
いざとい,イザトイ
せちがらい,セチガライ
涙脆い,ナミダモロイ
清い,キヨイ
こまかい,コマカイ
疑深い,ウタガイブカイ
押付けがましい,オシツケガマシイ
暑苦しい,アツクルシイ
いきぐるしい,イキグルシイ
いけ好かない,イケスカナイ
あったかい,アッタカイ
いそくさい,イソクサイ
あまったるい,アマッタルイ
はらだたしい,ハラダタシイ
寝ぐるしい,ネグルシイ
うすぐらい,ウスグライ
硬い,カタイ
うれしい,ウレシイ
ぬくとい,ヌクトイ
あおっぽい,アオッポイ
か黒い,カグロイ
愚かしい,オロカシイ
どくどくしい,ドクドクシイ
憎たらしい,ニクタラシイ
美びしい,ビビシイ
うすらさむい,ウスラサムイ
あぶなっかしい,アブナッカシイ
難しい,ムズカシイ
めんどい,メンドイ
はらぐろい,ハラグロイ
思い出深い,オモイデブカイ
もの凄い,モノスゴイ
さうない,サウナイ
つつましい,ツツマシイ
心地よい,ココチヨイ
ものたりない,モノタリナイ
泥深い,ドロブカイ
かん高い,カンダカイ
憂い,ウイ
ひと足早い,ヒトアシハヤイ
下らない,クダラナイ
くちぎたない,クチギタナイ
楽しい,タノシイ
ふるい,フルイ
のっぴきならない,ノッピキナラナイ
もの珍しい,モノメズラシイ
いけすかない,イケスカナイ
所在無い,ショザイナイ
敢ない,アエナイ
勇ましい,イサマシイ
おもい,オモイ
うらがなしい,ウラガナシイ
寒々しい,サムザムシイ
うしろめたい,ウシロメタイ
敢無い,アエナイ
なまぐさい,ナマグサイ
口さがない,クチサガナイ
ふんべつくさい,フンベツクサイ
こまごましい,コマゴマシイ
まっしろい,マッシロイ
ゆゆしい,ユユシイ
えがらい,エガライ
うら悲しい,ウラガナシイ
懐しい,ナツカシイ
忌忌しい,イマイマシイ
気疎い,ケウトイ
ねむい,ネムイ
愛しい,イトシイ
四角い,シカクイ
義理堅い,ギリガタイ
つたない,ツタナイ
遠慮ない,エンリョナイ
似合しい,ニアワシイ
みじかい,ミジカイ
ほしい,ホシイ
なにごころない,ナニゴコロナイ
色っぽい,イロッポイ
てばやい,テバヤイ
気障っぽい,キザッポイ
わるい,ワルイ
細細しい,コマゴマシイ
長い,ナガイ
うすら寒い,ウスラサムイ
